route_name,stop_sequence,building_type,package_weight_kg,package_size
Route-001,0,single_family_home,3,small
Route-001,1,business_storefront,12,medium
Route-001,2,apartment_complex,2,small
Route-001,3,single_family_home,5,small
Route-001,4,warehouse,68,oversized
Route-001,5,single_family_home,1,small
Route-001,6,business_storefront,18,medium
Route-001,7,apartment_complex,4,small
Route-001,8,single_family_home,3,small
Route-001,9,business_storefront,15,medium
Route-002,0,apartment_complex,11,medium
Route-002,1,single_family_home,4,small
Route-002,2,business_storefront,2,small
Route-002,3,single_family_home,19,medium
Route-002,4,medical_office,5,small
Route-002,5,apartment_complex,25,heavy
Route-002,6,single_family_home,2,small
Route-002,7,business_storefront,4,small
Route-002,8,warehouse,55,oversized
Route-002,9,single_family_home,17,medium
Route-003,0,business_storefront,1,small
Route-003,1,single_family_home,5,small
Route-003,2,apartment_complex,14,medium
Route-003,3,single_family_home,3,small
Route-003,4,business_storefront,4,small
Route-003,5,single_family_home,28,heavy
Route-003,6,apartment_complex,2,small
Route-003,7,single_family_home,12,medium
Route-003,8,business_storefront,18,medium
Route-003,9,single_family_home,5,small
Route-004,0,apartment_complex,1,small
Route-004,1,single_family_home,4,small
Route-004,2,business_storefront,11,medium
Route-004,3,single_family_home,2,small
Route-004,4,school,16,medium
Route-004,5,warehouse,72,oversized
Route-004,6,single_family_home,3,small
Route-004,7,apartment_complex,5,small
Route-004,8,business_storefront,19,medium
Route-004,9,single_family_home,3,small
Route-005,0,single_family_home,1,small
Route-005,1,business_storefront,4,small
Route-005,2,apartment_complex,12,medium
Route-005,3,single_family_home,3,small
Route-005,4,business_storefront,15,medium
Route-005,5,single_family_home,5,small
Route-005,6,apartment_complex,2,small
Route-005,7,medical_office,22,heavy
Route-005,8,single_family_home,4,small
Route-005,9,business_storefront,1,small
Route-006,0,business_storefront,14,medium
Route-006,1,single_family_home,3,small
Route-006,2,apartment_complex,1,small
Route-006,3,single_family_home,20,medium
Route-006,4,warehouse,48,oversized
Route-006,5,single_family_home,5,small
Route-006,6,business_storefront,2,small
Route-006,7,single_family_home,4,small
Route-006,8,apartment_complex,17,medium
Route-006,9,single_family_home,2,small
Route-007,0,single_family_home,21,heavy
Route-007,1,business_storefront,4,small
Route-007,2,apartment_complex,1,small
Route-007,3,single_family_home,16,medium
Route-007,4,business_storefront,3,small
Route-007,5,single_family_home,5,small
Route-007,6,apartment_complex,12,medium
Route-007,7,single_family_home,2,small
Route-007,8,business_storefront,4,small
Route-007,9,single_family_home,18,medium
Route-008,0,warehouse,65,oversized
Route-008,1,single_family_home,3,small
Route-008,2,business_storefront,14,medium
Route-008,3,apartment_complex,2,small
Route-008,4,single_family_home,19,medium
Route-008,5,business_storefront,4,small
Route-008,6,single_family_home,5,small
Route-008,7,apartment_complex,1,small
Route-008,8,single_family_home,2,small
Route-008,9,school,29,heavy
Route-009,0,business_storefront,12,medium
Route-009,1,single_family_home,4,small
Route-009,2,apartment_complex,2,small
Route-009,3,single_family_home,18,medium
Route-009,4,business_storefront,3,small
Route-009,5,single_family_home,5,small
Route-009,6,apartment_complex,1,small
Route-009,7,single_family_home,15,medium
Route-009,8,medical_office,4,small
Route-009,9,single_family_home,2,small
Route-010,0,apartment_complex,20,medium
Route-010,1,single_family_home,3,small
Route-010,2,business_storefront,2,small
Route-010,3,single_family_home,1,small
Route-010,4,business_storefront,17,medium
Route-010,5,single_family_home,4,small
Route-010,6,apartment_complex,27,heavy
Route-010,7,single_family_home,5,small
Route-010,8,business_storefront,2,small
Route-010,9,single_family_home,11,medium
Route-011,0,single_family_home,3,small
Route-011,1,business_storefront,19,medium
Route-011,2,apartment_complex,1,small
Route-011,3,single_family_home,5,small
Route-011,4,business_storefront,12,medium
Route-011,5,single_family_home,4,small
Route-011,6,warehouse,58,oversized
Route-011,7,apartment_complex,2,small
Route-011,8,single_family_home,3,small
Route-011,9,business_storefront,1,small
Route-012,0,business_storefront,24,heavy
Route-012,1,single_family_home,4,small
Route-012,2,apartment_complex,1,small
Route-012,3,single_family_home,18,medium
Route-012,4,business_storefront,2,small
Route-012,5,single_family_home,5,small
Route-012,6,apartment_complex,11,medium
Route-012,7,single_family_home,3,small
Route-012,8,business_storefront,14,medium
Route-012,9,single_family_home,2,small
Route-013,0,apartment_complex,1,small
Route-013,1,single_family_home,17,medium
Route-013,2,business_storefront,3,small
Route-013,3,single_family_home,5,small
Route-013,4,school,12,medium
Route-013,5,single_family_home,4,small
Route-013,6,apartment_complex,2,small
Route-013,7,single_family_home,20,medium
Route-013,8,business_storefront,1,small
Route-013,9,single_family_home,4,small
Route-014,0,single_family_home,15,medium
Route-014,1,business_storefront,3,small
Route-014,2,apartment_complex,2,small
Route-014,3,single_family_home,5,small
Route-014,4,business_storefront,1,small
Route-014,5,warehouse,61,oversized
Route-014,6,single_family_home,19,medium
Route-014,7,apartment_complex,4,small
Route-014,8,single_family_home,2,small
Route-014,9,business_storefront,11,medium
