route_name,stop_sequence,latitude,longitude
Route-001,0,49.606,6.140
Route-001,1,49.620,6.114
Route-001,2,49.505,5.977
Route-001,3,49.498,5.975
Route-001,4,49.115,6.150
Route-001,5,49.346,6.147
Route-001,6,49.670,5.819
Route-001,7,50.861,4.369
Route-001,8,48.828,2.370
Route-001,9,48.873,2.335
Route-002,0,49.610,6.107
Route-002,1,49.619,6.133
Route-002,2,49.509,5.976
Route-002,3,49.489,5.988
Route-002,4,49.117,6.186
Route-002,5,49.363,6.179
Route-002,6,49.693,5.801
Route-002,7,50.861,4.369
Route-002,8,48.876,2.378
Route-002,9,48.849,2.354
Route-003,0,49.619,6.138
Route-003,1,49.598,6.126
Route-003,2,49.508,5.979
Route-003,3,49.487,5.986
Route-003,4,49.130,6.184
Route-003,5,49.352,6.168
Route-003,6,49.674,5.826
Route-003,7,50.845,4.357
Route-003,8,48.883,2.329
Route-003,9,48.828,2.370
Route-004,0,49.607,6.114
Route-004,1,49.630,6.119
Route-004,2,49.496,5.966
Route-004,3,49.501,5.988
Route-004,4,49.112,6.169
Route-004,5,49.342,6.167
Route-004,6,49.700,5.818
Route-004,7,50.842,4.356
Route-004,8,48.890,2.353
Route-004,9,48.843,2.363
Route-005,0,49.616,6.102
Route-005,1,49.616,6.111
Route-005,2,49.506,5.976
Route-005,3,49.495,5.971
Route-005,4,49.126,6.181
Route-005,5,49.357,6.149
Route-005,6,49.674,5.819
Route-005,7,50.846,4.349
Route-005,8,48.863,2.349
Route-005,9,48.866,2.353
Route-006,0,49.632,6.143
Route-006,1,49.609,6.104
Route-006,2,49.498,5.974
Route-006,3,49.489,5.989
Route-006,4,49.137,6.174
Route-006,5,49.344,6.182
Route-006,6,49.697,5.801
Route-006,7,50.846,4.365
Route-006,8,48.842,2.363
Route-006,9,48.828,2.341
Route-007,0,49.607,6.163
Route-007,1,49.605,6.126
Route-007,2,49.487,5.974
Route-007,3,49.489,5.976
Route-007,4,49.118,6.150
Route-007,5,49.363,6.179
Route-007,6,49.693,5.801
Route-007,7,50.848,4.358
Route-007,8,48.872,2.387
Route-007,9,48.874,2.349
Route-008,0,49.602,6.153
Route-008,1,49.614,6.122
Route-008,2,49.500,5.996
Route-008,3,49.498,5.975
Route-008,4,49.123,6.185
Route-008,5,49.342,6.167
Route-008,6,49.674,5.826
Route-008,7,50.859,4.363
Route-008,8,48.846,2.332
Route-008,9,48.858,2.359
Route-009,0,49.623,6.140
Route-009,1,49.614,6.123
Route-009,2,49.503,5.966
Route-009,3,49.494,5.963
Route-009,4,49.123,6.158
Route-009,5,49.359,6.189
Route-009,6,49.697,5.801
Route-009,7,50.848,4.358
Route-009,8,48.886,2.363
Route-009,9,48.865,2.347
Route-010,0,49.626,6.130
Route-010,1,49.608,6.119
Route-010,2,49.496,5.966
Route-010,3,49.500,5.993
Route-010,4,49.126,6.158
Route-010,5,49.365,6.158
Route-010,6,49.671,5.812
Route-010,7,50.849,4.328
Route-010,8,48.824,2.368
Route-010,9,48.879,2.350
Route-011,0,49.613,6.148
Route-011,1,49.627,6.153
Route-011,2,49.488,5.978
Route-011,3,49.500,5.967
Route-011,4,49.105,6.163
Route-011,5,49.371,6.175
Route-011,6,49.698,5.826
Route-011,7,50.854,4.353
Route-011,8,48.865,2.315
Route-011,9,48.888,2.365
Route-012,0,49.626,6.130
Route-012,1,49.591,6.120
Route-012,2,49.507,5.981
Route-012,3,49.503,5.985
Route-012,4,49.130,6.165
Route-012,5,49.358,6.191
Route-012,6,49.671,5.812
Route-012,7,50.837,4.352
Route-012,8,48.824,2.368
Route-012,9,48.852,2.333
Route-013,0,49.602,6.153
Route-013,1,49.597,6.156
Route-013,2,49.495,5.975
Route-013,3,49.486,5.972
Route-013,4,49.109,6.198
Route-013,5,49.373,6.160
Route-013,6,49.684,5.824
Route-013,7,50.841,4.329
Route-013,8,48.847,2.354
Route-013,9,48.865,2.347
Route-014,0,49.603,6.140
Route-014,1,49.619,6.138
Route-014,2,49.500,5.999
Route-014,3,49.498,5.974
Route-014,4,49.130,6.184
Route-014,5,49.368,6.183
Route-014,6,49.681,5.825
Route-014,7,50.851,4.350
Route-014,8,48.863,2.385
Route-014,9,48.873,2.335
Route-015,0,49.623,6.152
Route-015,1,49.596,6.132
Route-015,2,49.487,5.971
Route-015,3,49.504,5.984
Route-015,4,49.134,6.182
Route-015,5,49.361,6.182
Route-015,6,49.678,5.817
Route-015,7,50.846,4.365
Route-015,8,48.828,2.370
Route-015,9,48.848,2.388
Route-016,0,49.606,6.131
Route-016,1,49.633,6.124
Route-016,2,49.487,5.973
Route-016,3,49.490,5.977
Route-016,4,49.133,6.189
Route-016,5,49.371,6.181
Route-016,6,49.697,5.814
Route-016,7,50.833,4.354
Route-016,8,48.849,2.306
Route-016,9,48.847,2.354
Route-017,0,49.619,6.133
Route-017,1,49.602,6.109
Route-017,2,49.497,5.966
Route-017,3,49.487,5.973
Route-017,4,49.129,6.165
Route-017,5,49.352,6.168
Route-017,6,49.677,5.794
Route-017,7,50.848,4.372
Route-017,8,48.863,2.349
Route-017,9,48.888,2.365
Route-018,0,49.607,6.163
Route-018,1,49.621,6.162
Route-018,2,49.500,5.967
Route-018,3,49.498,5.975
Route-018,4,49.109,6.198
Route-018,5,49.353,6.178
Route-018,6,49.672,5.817
Route-018,7,50.837,4.352
Route-018,8,48.879,2.350
Route-018,9,48.855,2.405
Route-019,0,49.613,6.110
Route-019,1,49.608,6.119
Route-019,2,49.499,5.990
Route-019,3,49.487,5.986
Route-019,4,49.126,6.158
Route-019,5,49.348,6.184
Route-019,6,49.684,5.824
Route-019,7,50.841,4.329
Route-019,8,48.874,2.311
Route-019,9,48.891,2.356
Route-020,0,49.596,6.132
Route-020,1,49.598,6.126
Route-020,2,49.505,5.995
Route-020,3,49.487,5.974
Route-020,4,49.129,6.165
Route-020,5,49.343,6.167
Route-020,6,49.693,5.797
Route-020,7,50.839,4.363
Route-020,8,48.830,2.332
Route-020,9,48.839,2.382
Route-021,0,49.623,6.151
Route-021,1,49.593,6.150
Route-021,2,49.487,5.975
Route-021,3,49.488,5.978
Route-021,4,49.119,6.155
Route-021,5,49.357,6.149
Route-021,6,49.691,5.814
Route-021,7,50.861,4.342
Route-021,8,48.852,2.299
Route-021,9,48.876,2.352
Route-022,0,49.596,6.128
Route-022,1,49.608,6.119
Route-022,2,49.499,5.990
Route-022,3,49.489,5.989
Route-022,4,49.104,6.164
Route-022,5,49.362,6.149
Route-022,6,49.670,5.819
Route-022,7,50.849,4.328
Route-022,8,48.831,2.338
Route-022,9,48.859,2.397
Route-023,0,49.609,6.138
Route-023,1,49.601,6.118
Route-023,2,49.498,5.994
Route-023,3,49.498,5.974
Route-023,4,49.105,6.163
Route-023,5,49.365,6.163
Route-023,6,49.671,5.812
Route-023,7,50.854,4.353
Route-023,8,48.865,2.315
Route-023,9,48.849,2.306
Route-024,0,49.614,6.122
Route-024,1,49.607,6.126
Route-024,2,49.505,5.972
Route-024,3,49.504,5.984
Route-024,4,49.127,6.171
Route-024,5,49.373,6.170
Route-024,6,49.679,5.804
Route-024,7,50.849,4.328
Route-024,8,48.841,2.326
Route-024,9,48.866,2.389
Route-025,0,49.623,6.151
Route-025,1,49.602,6.153
Route-025,2,49.496,5.997
Route-025,3,49.489,5.976
Route-025,4,49.118,6.150
Route-025,5,49.347,6.189
Route-025,6,49.693,5.801
Route-025,7,50.859,4.348
Route-025,8,48.874,2.349
Route-025,9,48.839,2.354
Route-026,0,49.596,6.132
Route-026,1,49.596,6.118
Route-026,2,49.500,5.999
Route-026,3,49.498,5.974
Route-026,4,49.128,6.176
